name,rank,matches,wins,losses,draws,year
Bob Backlund,17,125,93,30,2,1993
Owen Hart,18,124,93,31,0,1993
Crush,19,116,85,21,10,1993
Damien DeMento,20,111,26,84,1,1993
Billy Gunn,21,103,55,48,0,1993
El Matador,22,103,58,43,2,1993
Bart Gunn,23,101,54,47,0,1993
Papa Shango,24,99,26,73,0,1993
The 1-2-3 Kid,25,99,67,29,3,1993
Bastion Booger,26,94,44,49,1,1993
Blake Beverly,27,93,6,87,0,1993
Ted DiBiase,28,92,32,60,0,1993
Adam Bomb,29,90,52,38,0,1993
Marty Jannetty,30,90,40,48,2,1993
Terry Taylor,31,90,21,69,0,1993
Kamala,32,83,47,36,0,1993
The Brooklyn Brawler,33,81,17,64,0,1993
Randy Savage,34,74,39,29,6,1993
Ludvig Borga,35,71,25,45,1,1993
Jim Duggan,36,70,27,43,0,1993
Jim Powers,37,67,16,51,0,1993
Jacques,38,65,23,42,0,1993
Typhoon,39,65,39,26,0,1993
Mr. Hughes,40,63,46,16,1,1993
Mo,41,62,50,12,0,1993
Mabel,42,61,48,13,0,1993
Jerry Sags,43,59,26,15,18,1993
Pierre,44,59,23,36,0,1993
Diesel,45,58,19,39,0,1993
Beau Beverly,46,56,1,55,0,1993
Brian Knobbs,47,53,19,16,18,1993
Giant Gonzalez,48,51,11,37,3,1993
Rick Martel,49,51,19,31,1,1993
Skinner,50,51,25,26,0,1993
Barry Horowitz,51,45,2,42,1,1993
Reno Riggins,52,45,1,44,0,1993
Butch,53,44,35,9,0,1993
Luke,54,44,35,9,0,1993
Iron Mike Sharpe,55,39,0,39,0,1993
Repo Man,56,37,4,33,0,1993
Kim Chee,57,34,1,33,0,1993
The Predator,58,33,3,30,0,1993
Jerry Lawler,59,32,14,18,0,1993
Koko B. Ware,60,32,5,27,0,1993
Ric Flair,61,30,1,28,1,1993
Little Louie,62,27,1,26,0,1993
Tiger Jackson,63,27,26,1,0,1993
Timothy Well,64,24,7,17,0,1993
Steven Dunn,65,23,7,16,0,1993
Hulk Hogan,66,22,20,2,0,1993
Brutus Beefcake,67,21,20,1,0,1993
Scott Taylor,68,21,0,21,0,1993
The Big Boss Man,69,21,4,17,0,1993
Barry Hardy,70,20,1,19,0,1993
Duane Gill,71,20,1,19,0,1993
Mike Bell,72,20,0,20,0,1993
PJ Walker,73,20,1,19,0,1993
Phil Apollo,74,18,1,17,0,1993
Rich Myers,75,18,1,17,0,1993
Tony Roy,76,17,0,17,0,1993
Jeff Jarrett,77,16,13,3,0,1993
Luna Vachon,78,16,11,5,0,1993
Sensational Sherri,79,16,5,11,0,1993
The Berzerker,80,16,0,16,0,1993
Tony DeVito,81,16,0,16,0,1993
Chris Duffy,82,14,1,13,0,1993
Dan Dubiel,83,14,0,14,0,1993
Glen Ruth,84,14,0,14,0,1993
Jim Brunzell,85,14,5,9,0,1993
Johnny Polo,86,14,3,11,0,1993
Max Moon,87,14,2,12,0,1993
Russ Greenberg,88,14,1,13,0,1993
Bert Centeno,89,13,0,13,0,1993
The Red Knight,90,12,0,12,0,1993
Brian Costello,91,11,0,11,0,1993
Executioner #1,92,11,0,11,0,1993
Louie Spicolli,93,11,1,10,0,1993
The Black Knight,94,11,0,11,0,1993
Tom Stone,95,11,0,11,0,1993
Dwayne Gill,96,10,0,9,1,1993
Jimmy del Ray,97,10,9,1,0,1993
Mike Khoury,98,10,0,10,0,1993
Tom Prichard,99,10,9,1,0,1993
Dale Wolfe,100,9,0,9,0,1993
Owen Hart,1,192,69,121,2,1994
Jeff Jarrett,2,179,121,55,3,1994
Tatanka,3,178,82,64,32,1994
Lex Luger,4,177,133,17,27,1994
Razor Ramon,5,170,144,21,5,1994
Bret Hart,6,167,159,7,1,1994
Yokozuna,7,164,66,94,4,1994
The 1-2-3 Kid,8,160,80,77,3,1994
Doink,9,159,76,83,0,1994
Adam Bomb,10,157,95,60,2,1994
Bam Bam Bigelow,11,157,79,76,2,1994
Irwin R. Schyster,12,157,102,55,0,1994
Diesel,13,156,117,32,7,1994
Kwang,14,155,59,94,2,1994
Mabel,15,153,86,66,1,1994
Fatu,16,142,93,49,0,1994
Billy Gunn,17,141,99,40,2,1994
Bart Gunn,18,134,98,34,2,1994
Pierre,19,121,38,82,1,1994
Samu,20,117,82,35,0,1994
Alundra Blayze,21,108,103,3,2,1994
Crush,22,104,33,70,1,1994
Jim Neidhart,23,85,24,61,0,1994
The Undertaker,24,85,84,1,0,1994
Tom Prichard,25,82,33,48,1,1994
Jacques,26,79,33,45,1,1994
Shawn Michaels,27,78,37,41,0,1994
Luke,28,77,63,14,0,1994
Duke Droese,29,76,59,17,0,1994
Butch,30,74,60,14,0,1994
Bob Backlund,31,73,34,39,0,1994
Jimmy del Ray,32,73,33,39,1,1994
Sparky Plugg,33,73,54,19,0,1994
Randy Savage,34,64,42,22,0,1994
Steven Dunn,35,63,8,55,0,1994
Timothy Well,36,62,8,54,0,1994
Bull Nakano,37,53,5,46,2,1994
Mo,38,53,27,26,0,1994
The British Bulldog,39,53,48,2,3,1994
Bob Holly,40,47,31,15,1,1994
Rick Martel,41,43,8,32,3,1994
Bastion Booger,42,42,9,33,0,1994
Jim Powers,43,42,2,40,0,1994
Earthquake,44,39,35,2,2,1994
King Kong Bundy,45,39,26,12,1,1994
Luna Vachon,46,39,1,38,0,1994
Nikolai Volkoff,47,36,24,12,0,1994
The Brooklyn Brawler,48,36,1,35,0,1994
Barry Horowitz,49,33,0,33,0,1994
Reno Riggins,50,30,0,30,0,1994
Virgil,51,30,2,28,0,1994
PJ Walker,52,28,2,26,0,1994
Jerry Lawler,53,27,20,7,0,1994
Mike Bell,54,26,0,26,0,1994
Thurman Sparky Plugg,55,25,19,5,1,1994
Abe Schwartz,56,24,13,10,1,1994
Marty Jannetty,57,24,8,15,1,1994
Rick Steiner,58,24,20,1,3,1994
Typhoon,59,24,4,20,0,1994
John Paul,60,22,3,19,0,1994
Scott Steiner,61,22,17,3,2,1994
Tony DeVito,62,22,0,22,0,1994
Aldo Montoya,63,21,21,0,0,1994
Executioner #2,64,21,0,21,0,1994
Iron Mike Sharpe,65,21,0,21,0,1994
Sionne,66,21,11,10,0,1994
Executioner #1,67,20,0,20,0,1994
Leilani Kai,68,20,0,20,0,1994
Barry Hardy,69,18,0,18,0,1994
Duane Gill,70,18,0,18,0,1994
Phil Apollo,71,18,0,18,0,1994
Scott Taylor,72,18,0,18,0,1994
The Undertaker,73,18,16,2,0,1994
Ben Jordan,74,17,0,17,0,1994
Gary Scott,75,17,0,17,0,1994
Heidi Lee Morgan,76,15,5,10,0,1994
Koko B. Ware,77,15,4,11,0,1994
Mike Khoury,78,15,0,15,0,1994
Rich Myers,79,15,0,15,0,1994
Mike Maraldo,80,14,0,14,0,1994
The Barbarian,81,14,1,13,0,1994
Johnny Polo,82,13,1,12,0,1994
Ludvig Borga,83,13,3,9,1,1994
The Black Phantom,84,13,0,13,0,1994
Tony Roy,85,13,0,13,0,1994
Chris Kanyon,86,12,0,12,0,1994
Cory Student,87,12,0,12,0,1994
Derek Domino,88,12,0,12,0,1994
Austin Steele,89,11,0,11,0,1994
George South,90,11,0,11,0,1994
Tim McNeany,91,11,0,11,0,1994
Dink,92,10,7,3,0,1994
Gary Sabough,93,10,0,10,0,1994
Louie Spicolli,94,10,0,10,0,1994
Bert Centeno,95,9,0,9,0,1994
John Chrystal,96,9,0,9,0,1994
Chris Hamrick,97,8,0,8,0,1994
Henry O. Godwinn,98,8,8,0,0,1994
Nick Barberi,99,8,0,8,0,1994
Ray Hudson,100,8,0,8,0,1994
Owen Hart,1,171,72,94,5,1995
Razor Ramon,2,170,125,39,6,1995
The British Bulldog,3,162,84,68,10,1995
Bret Hart,4,150,138,8,4,1995
Hakushi,5,148,89,59,0,1995
Diesel,6,143,119,21,3,1995
The Undertaker,7,138,125,10,3,1995
Billy Gunn,8,137,119,16,2,1995
Bart Gunn,9,136,118,16,2,1995
Kama,10,132,43,87,2,1995
Shawn Michaels,11,124,103,16,5,1995
Henry O. Godwinn,12,123,60,55,8,1995
Bob Holly,13,116,34,82,0,1995
Fatu,14,115,56,44,15,1995
The 1-2-3 Kid,15,115,56,59,0,1995
Yokozuna,16,114,49,63,2,1995
Bam Bam Bigelow,17,113,57,54,2,1995
Sid,18,108,31,76,1,1995
Savio Vega,19,106,86,17,3,1995
Skip,20,106,51,54,1,1995
Jeff Jarrett,21,104,27,76,1,1995
Aldo Montoya,22,101,30,70,1,1995
Hunter Hearst Helmsley,23,99,81,15,3,1995
Lex Luger,24,96,59,30,7,1995
Eli Blu,25,95,43,45,7,1995
Jacob Blu,26,93,42,44,7,1995
Jean-Pierre LaFitte,27,93,73,18,2,1995
Tatanka,28,93,20,66,7,1995
Barry Horowitz,29,91,29,62,0,1995
Bob Backlund,30,82,35,46,1,1995
Adam Bomb,31,80,52,25,3,1995
Rad Radford,32,80,15,65,0,1995
King Kong Bundy,33,77,36,39,2,1995
Alundra Blayze,34,73,35,38,0,1995
Duke Droese,35,73,31,42,0,1995
King Mabel,36,67,16,49,2,1995
Isaac Yankem DDS,37,61,19,42,0,1995
Man Mountain Rock,38,61,41,20,0,1995
Bertha Faye,39,54,23,31,0,1995
Doink,40,52,18,33,1,1995
Mabel,41,49,36,12,1,1995
Goldust,42,48,46,2,0,1995
The Brooklyn Brawler,43,48,1,47,0,1995
Sionne,44,46,8,31,7,1995
Tom Prichard,45,45,6,38,1,1995
Marty Jannetty,46,42,14,27,1,1995
Waylon Mercy,47,42,29,5,8,1995
Jimmy del Ray,48,39,5,33,1,1995
Ahmed Johnson,49,38,38,0,0,1995
Mantaur,50,37,14,23,0,1995
Mo,51,37,26,10,1,1995
Sir Mo,52,37,5,31,1,1995
Kwang,53,34,5,29,0,1995
Dean Douglas,54,31,14,16,1,1995
Irwin R. Schyster,55,29,2,27,0,1995
Butch,56,23,14,9,0,1995
Luke,57,23,14,9,0,1995
Mike Bell,58,23,0,23,0,1995
Jerry Lawler,59,21,5,16,0,1995
Timothy Well,60,21,0,21,0,1995
Steven Dunn,61,20,0,20,0,1995
Bull Nakano,62,18,16,2,0,1995
Scott Taylor,63,17,0,17,0,1995
The Roadie,64,16,9,7,0,1995
Troy,65,15,14,1,0,1995
Bill Payne,66,14,0,14,0,1995
Bob Cook,67,14,0,14,0,1995
Gary Scott,68,14,1,13,0,1995
Tony DeVito,69,14,0,14,0,1995
Travis,70,14,14,0,0,1995
Buck Quartermain,71,13,1,12,0,1995
Jason Ahrndt,72,13,0,13,0,1995
The Black Phantom,73,13,0,13,0,1995
John Chrystal,74,12,0,12,0,1995
