"wrestler_name","wrestler_rank","wrestler_matches","wrestler_wins","wrestler_losses","wrestler_draws"
"The Hurricane","21","120","80","40","0"
"Steven Richards","22","117","31","86","0"
"Rhyno","23","116","51","63","2"
"The Big Show","24","115","30","84","1"
"Chris Jericho","25","113","44","65","4"
"Nunzio","26","110","37","72","1"
"Scott Steiner","27","109","70","39","0"
"Trish Stratus","28","107","49","55","3"
"Chuck Palumbo","29","105","38","67","0"
"Booker T","30","104","69","32","3"
"Molly Holly","31","100","38","62","0"
"Rene Dupree","32","100","46","54","0"
"Spike Dudley","33","100","48","51","1"
"Rosey","34","99","37","62","0"
"Tommy Dreamer","35","99","24","75","0"
"Sean O'Haire","36","98","66","31","1"
"Victoria","37","98","45","53","0"
"Funaki","38","92","27","65","0"
"Rikishi","39","91","51","38","2"
"Billy Kidman","40","90","54","36","0"
"Johnny Stamboli","41","89","32","56","1"
"Rodney Mack","42","88","49","39","0"
"Doug Basham","43","87","55","32","0"
"Chavo Guerrero","44","85","36","48","1"
"Danny Basham","45","84","54","30","0"
"Randy Orton","46","83","39","41","3"
"Triple H","47","83","49","31","3"
"Kurt Angle","48","79","59","18","2"
"Mark Jindrak","49","79","47","32","0"
"Shannon Moore","50","79","19","60","0"
"Val Venis","51","79","42","35","2"
"Spanky","52","71","31","40","0"
"Orlando Jordan","53","70","29","41","0"
"Garrison Cade","54","67","37","30","0"
"Ultimo Dragon","55","63","39","24","0"
"Bradshaw","56","59","32","27","0"
"Mark Henry","57","59","38","21","0"
"Bill DeMott","58","57","34","23","0"
"Batista","59","53","17","35","1"
"Gail Kim","60","53","26","27","0"
"The Undertaker","61","53","36","16","1"
"Jazz","62","52","24","27","1"
"Ric Flair","63","52","14","37","1"
"Rob Conway","64","51","9","42","0"
"Nidia","65","50","19","31","0"
"Torrie Wilson","66","49","33","16","0"
"Goldust","67","48","31","17","0"
"Jacqueline","68","48","11","37","0"
"Christopher Nowinski","69","47","21","26","0"
"Brian Kendrick","70","45","16","29","0"
"Billy Gunn","71","44","24","20","0"
"Goldberg","72","43","36","4","3"
"Jamal","73","43","10","33","0"
"Lita","74","41","27","13","1"
"Dawn Marie","75","40","9","30","1"
"Chris Kanyon","76","39","12","27","0"
"Ivory","77","37","14","23","0"
"Shawn Michaels","78","37","25","10","2"
"Faarooq","79","36","13","23","0"
"Nathan Jones","80","36","23","13","0"
"Paul London","81","36","11","25","0"
"Sylvain Grenier","82","35","26","9","0"
"Crash","83","34","7","27","0"
"Chief Morley","84","33","5","28","0"
"Kevin Nash","85","30","11","19","0"
"Sylvan Grenier","86","27","14","13","0"
"Scotty 2 Hotty","87","25","15","10","0"
"Shane McMahon","88","24","20","3","1"
"Jeff Hardy","89","23","13","10","0"
"D-Lo Brown","90","21","6","15","0"
"William Regal","91","21","20","1","0"
"Jon Heidenreich","92","20","15","5","0"
"Edge","93","19","9","10","0"
"Matt Morgan","94","19","3","16","0"
"Horshu","95","18","6","12","0"
"Zach Gowen","96","16","6","10","0"
"Akio","97","14","4","10","0"
"Matt Hardy","98","14","6","8","0"
"Travis Tomko","99","14","5","9","0"
"Al Snow","100","13","4","9","0"
"Chris Benoit","1","164","134","27","3"
"Batista","2","163","59","103","1"
"Randy Orton","3","153","111","39","3"
"Rhyno","4","149","59","88","2"
"Chris Jericho","5","148","100","46","2"
"Rey Mysterio","6","146","88","56","2"
"Rene Dupree","7","141","54","85","2"
"Shelton Benjamin","8","139","85","50","4"
"Rob Van Dam","9","138","89","47","2"
"Tajiri","10","135","56","78","1"
"Billy Kidman","11","132","65","62","5"
"The Hurricane","12","130","48","80","2"
"Charlie Haas","13","129","56","69","4"
"Mark Jindrak","14","129","72","57","0"
"Val Venis","15","128","48","78","2"
"Booker T","16","127","57","68","2"
"Spike Dudley","17","122","62","60","0"
"Eddie Guerrero","18","121","76","40","5"
"Molly Holly","19","119","25","91","3"
"Nunzio","20","118","38","79","1"
"Hardcore Holly","21","117","52","65","0"
"Triple H","22","116","30","83","3"
"D-Von Dudley","23","115","36","79","0"
"John Cena","24","115","89","25","1"
"Kane","25","114","50","59","5"
"Victoria","26","114","79","32","3"
"Bubba Ray Dudley","27","112","38","74","0"
"Sylvain Grenier","28","112","62","50","0"
"Christian","29","109","24","85","0"
"Chavo Guerrero","30","106","52","52","2"
"Chuck Palumbo","31","98","23","75","0"
"John Bradshaw Layfield","32","97","52","45","0"
"Paul London","33","96","40","54","2"
"Doug Basham","34","95","24","71","0"
"Danny Basham","35","94","25","68","1"
"Eugene","36","92","60","30","2"
"Edge","37","90","42","46","2"
"Rosey","38","90","38","51","1"
"Rob Conway","39","87","50","37","0"
"Johnny Stamboli","40","84","38","46","0"
"Jamie Noble","41","83","16","65","2"
"Maven","42","82","43","39","0"
"Garrison Cade","43","79","39","40","0"
"Funaki","44","77","24","53","0"
"Scotty 2 Hotty","45","77","39","38","0"
"Billy Gunn","46","76","33","43","0"
"Kurt Angle","47","76","20","54","2"
"Ric Flair","48","76","27","49","0"
"Rico","49","76","56","20","0"
"Matt Hardy","50","75","34","38","3"
"Luther Reigns","51","74","27","44","3"
"Trish Stratus","52","74","40","33","1"
"Orlando Jordan","53","73","34","39","0"
"Steven Richards","54","73","23","48","2"
"Lita","55","72","37","32","3"
"The Big Show","56","72","52","19","1"
"William Regal","57","71","43","28","0"
"Kenzo Suzuki","58","69","48","21","0"
"Tyson Tomko","59","68","20","48","0"
"Shannon Moore","60","60","10","50","0"
"Akio","61","58","8","49","1"
"The Undertaker","62","56","51","4","1"
"Robert Conway","63","55","26","29","0"
"Jazz","64","49","9","40","0"
"Shawn Michaels","65","47","30","15","2"
"Nidia","66","46","22","24","0"
"Rikishi","67","43","32","11","0"
"Gene Snitsky","68","41","32","8","1"
"Dawn Marie","69","40","2","36","2"
"Rodney Mack","70","39","15","24","0"
"Gail Kim","71","38","5","31","2"
"Bradshaw","72","36","22","14","0"
"Heidenreich","73","36","20","16","0"
"Simon Dean","74","36","25","10","1"
"The A-Train","75","35","6","29","0"
"Sakoda","76","34","6","28","0"
"Test","77","31","5","24","2"
"Torrie Wilson","78","29","24","3","2"
"Lance Storm","79","26","16","10","0"
"Jonathan Coachman","80","24","2","22","0"
"Stacy Keibler","81","22","10","11","1"
"Carlito Caribbean Cool","82","21","18","3","0"
"Mordecai","83","21","20","1","0"
"Muhammad Hassan","84","20","13","7","0"
"Matt Morgan","85","19","3","16","0"
"Miss Jackie","86","19","13","4","2"
"Ultimo Dragon","87","19","11","8","0"
"Brock Lesnar","88","18","12","6","0"
"Horshu","89","18","1","17","0"
"Jon Heidenreich","90","17","12","5","0"
"Chris Masters","91","16","14","2","0"
"Chavo Guerrero Classic","92","14","12","2","0"
"Ernest Miller","93","13","5","8","0"
"Faarooq","94","12","6","6","0"
"Mark Henry","95","12","4","8","0"
"Matt Cappotelli","96","12","7","5","0"
"Mike Bucci","97","12","0","12","0"
"Jesus","98","9","5","2","2"
"Johnny Nitro","99","9","0","9","0"
"Nick Dinsmore","100","9","0","9","0"
"Shelton Benjamin","1","149","97","49","3"
"Chris Benoit","2","144","96","41","7"
"John Cena","3","144","135","7","2"
"Kurt Angle","4","139","40","95","4"
"The Big Show","5","132","112","17","3"
"Rey Mysterio","6","128","91","35","2"
"Booker T","7","127","84","38","5"
"Batista","8","126","111","12","3"
"Orlando Jordan","9","124","35","87","2"
"Edge","10","123","40","76","7"
"Chris Masters","11","122","87","34","1"
"Heidenreich","12","119","76","42","1"
"John Bradshaw Layfield","13","117","18","94","5"
"Christian","14","112","16","95","1"
"Tajiri","15","109","54","53","2"
"Eddie Guerrero","16","108","42","66","0"
"Hardcore Holly","17","108","43","65","0"
"Val Venis","18","108","23","85","0"
"Paul London","19","107","55","48","4"
"Victoria","20","107","27","80","0"
"William Regal","21","107","49","55","3"
"Kane","22","106","86","17","3"
"The Hurricane","23","99","61","37","1"
"Triple H","24","99","27","70","2"
"Shawn Michaels","25","96","71","19","6"
"Viscera","26","96","52","43","1"
"Funaki","27","95","28","66","1"
"Tyson Tomko","28","94","23","71","0"
"Nunzio","29","92","34","58","0"
"Randy Orton","30","85","29","54","2"
"Ric Flair","31","82","31","49","2"
"Chris Jericho","32","79","33","45","1"
"Rosey","33","78","56","22","0"
"Muhammad Hassan","34","77","36","40","1"
"Carlito","35","74","26","46","2"
"Scotty 2 Hotty","36","72","15","56","1"
"Simon Dean","37","70","15","55","0"
"Chavo Guerrero","38","67","26","38","3"
"Rob Conway","39","66","34","30","2"
"Antonio","40","63","8","55","0"
"Charlie Haas","41","63","20","43","0"
"Trish Stratus","42","62","57","5","0"
"Doug Basham","43","61","25","35","1"
"Rene Dupree","44","61","19","39","3"
"Romeo","45","60","8","52","0"
"Gene Snitsky","46","59","6","49","4"
"Mark Jindrak","47","58","24","33","1"
"Robert Conway","48","58","10","47","1"
"Sylvain Grenier","49","58","7","50","1"
"Super Crazy","50","57","39","17","1"
"The Undertaker","51","57","50","5","2"
"Danny Basham","52","56","23","32","1"
"Mercury","53","55","18","37","0"
"Road Warrior Animal","54","55","42","13","0"
"Eugene","55","53","24","28","1"
"Nitro","56","53","18","35","0"
"Psicosis","57","53","37","16","0"
"Snitsky","58","52","18","34","0"
"Trevor Murdoch","59","52","32","20","0"
"Spike Dudley","60","51","4","47","0"
"Lance Cade","61","48","26","22","0"
"Maven","62","46","8","38","0"
"Christy Hemme","63","45","39","6","0"
"Johnny Nitro","64","45","35","10","0"
"Juventud","65","44","22","21","1"
"Matt Hardy","66","44","22","19","3"
"Joey Mercury","67","42","36","6","0"
"Luther Reigns","68","41","8","32","1"
"Paul Burchill","69","41","8","32","1"
"Akio","70","39","6","32","1"
"Kerwin White","71","38","24","14","0"
"Torrie Wilson","72","38","16","22","0"
"Sylvan","73","33","7","26","0"
"Molly Holly","74","30","2","28","0"
"Bobby Lashley","75","29","24","5","0"
"Ashley","76","27","19","8","0"
"Brian Kendrick","77","27","6","21","0"
"Rhyno","78","27","5","22","0"
"Billy Kidman","79","25","2","23","0"
"Kid Kash","80","24","11","13","0"
"Steven Richards","81","24","0","24","0"
"Lashley","82","23","23","0","0"
"Vito","83","23","6","17","0"
"Kenzo Suzuki","84","21","4","17","0"
"Mr. Kennedy","85","21","8","13","0"
"Shannon Moore","86","21","1","20","0"
"Candice Michelle","87","20","6","14","0"
"Carlito Caribbean Cool","88","20","10","9","1"
"Mike Mizanin","89","20","9","11","0"
"Matt Morgan","90","19","10","8","1"
"Ken Kennedy","91","18","17","1","0"
"Melina","92","18","7","11","0"
"Chris Cage","93","17","4","13","0"
"Matt Striker","94","15","8","7","0"
"Khosrow Daivari","95","13","4","9","0"
"Chad Dick","96","11","4","7","0"
"Dawn Marie","97","11","1","10","0"
"James Dick","98","11","4","7","0"
"Jonathan Coachman","99","11","0","11","0"
"Russell Simpson","100","11","0","11","0"
"John Cena","1","165","136","26","3"
"Edge","2","152","36","115","1"
"Triple H","3","138","90","42","6"
"Carlito","4","136","62","73","1"
"Shelton Benjamin","5","130","56","73","1"
"Finlay","6","124","40","82","2"
"Rob Van Dam","7","124","82","40","2"
"Bobby Lashley","8","122","99","20","3"
"Kane","9","121","79","32","10"
"Matt Hardy","10","120","66","52","2"
"The Big Show","11","116","64","48","4"
"Lance Cade","12","114","35","79","0"
"Randy Orton","13","111","36","73","2"
"Brian Kendrick","14","109","72","36","1"
"Paul London","15","109","71","37","1"
"Rey Mysterio","16","108","80","23","5"
"Trevor Murdoch","17","108","32","76","0"
"Umaga","18","103","65","35","3"
"Mickie James","19","102","61","40","1"
"Shawn Michaels","20","102","80","16","6"
"Gregory Helms","21","100","55","41","4"
"Viscera","22","93","26","64","3"
"Chris Benoit","23","90","73","16","1"
"Kenny","24","90","26","60","4"
"Mikey","25","90","25","62","3"
"Super Crazy","26","87","36","49","2"
"Chris Masters","27","85","11","73","1"
"Johnny Nitro","28","85","36","49","0"
"Victoria","29","85","22","63","0"
"Funaki","30","84","21","58","5"
"Mark Henry","31","84","17","65","2"
"Snitsky","32","82","32","50","0"
"Eugene","33","80","26","54","0"
"Ric Flair","34","79","63","16","0"
"William Regal","35","79","12","67","0"
"Robbie McAllister","36","77","56","20","1"
"Rory McAllister","37","77","56","20","1"
"Chavo Guerrero","38","76","29","46","1"
"Sabu","39","75","38","35","2"
"Mr. Kennedy","40","73","34","37","2"
"Tatanka","41","73","26","44","3"
"Batista","42","72","63","8","1"
"Jamie Noble","43","72","19","53","0"
"Kurt Angle","44","71","45","24","2"
"Rob Conway","45","69","4","65","0"
"CM Punk","46","68","64","2","2"
"Johnny","47","68","24","41","3"
"Test","48","67","33","33","1"
"Torrie Wilson","49","67","30","37","0"
"Nicky","50","65","22","40","3"
"Vito","51","65","48","17","0"
"King Booker","52","64","14","50","0"
"Tommy Dreamer","53","64","30","34","0"
"Kid Kash","54","63","20","42","1"
"Jeff Hardy","55","62","36","26","0"
"Matt Striker","56","62","20","42","0"
"The Undertaker","57","62","48","9","5"
"Sylvan","58","61","13","47","1"
"Trish Stratus","59","61","30","30","1"
"Val Venis","60","61","15","46","0"
"Charlie Haas","61","60","17","40","3"
"Mike Knox","62","60","15","45","0"
"Mercury","63","54","35","18","1"
"Nitro","64","54","35","18","1"
"Candice Michelle","65","52","20","32","0"
"Scotty 2 Hotty","66","49","9","39","1"
"Maria","67","47","21","25","1"
"The Sandman","68","46","34","12","0"
"Kevin Thorn","69","45","20","25","0"
"Booker T","70","44","4","40","0"
"Goldust","71","44","21","23","0"
"Hardcore Holly","72","44","12","30","2"
"Little Guido","73","42","19","23","0"
"Psicosis","74","42","7","34","1"
"Rene Dupree","75","42","3","39","0"
"Balls Mahoney","76","41","15","26","0"
"John Bradshaw Layfield","77","41","12","28","1"
"KC James","78","41","5","35","1"
"Simon Dean","79","41","2","38","1"
"Orlando Jordan","80","39","3","36","0"
"Tony Mamaluke","81","39","16","23","0"
"Jim Duggan","82","38","23","15","0"
"Lita","83","37","21","16","0"
"Stevie Richards","84","36","13","23","0"
"Idol Stevens","85","34","3","31","0"
"Mitch","86","34","7","24","3"
"Montel Vontavious Porter","87","33","4","23","6"
"Nunzio","88","33","4","23","6"
"Kristal","89","30","12","17","1"
"Paul Burchill","90","29","20","9","0"
"Gunner Scott","91","28","14","14","0"
"Jillian","92","28","19","9","0"
"JTG","93","27","25","2","0"
"Jimmy Wang Yang","94","27","11","16","0"
"The Great Khali","95","27","18","8","1"
"The Boogeyman","96","25","24","0","1"
"Tyson Tomko","97","24","2","22","0"
"Harry Smith","98","23","20","3","0"
"Shad","99","23","22","1","0"
"Sylvester Terkay","100","23","19","4","0"
"Batista","1","158","134","18","6"
"Jeff Hardy","2","149","108","38","3"
"Montel Vontavious Porter","3","146","49","95","2"
"Finlay","4","139","29","103","7"
"Randy Orton","5","139","36","100","3"
"CM Punk","6","138","107","31","0"
"Kane","7","138","110","20","8"
"Carlito","8","132","46","82","4"
"Mr. Kennedy","9","129","41","85","3"
"Lance Cade","10","128","60","68","0"
"Umaga","11","128","40","86","2"
"Tommy Dreamer","12","126","55","71","0"
"Trevor Murdoch","13","126","59","67","0"
"Matt Hardy","14","125","85","37","3"
"John Cena","15","115","98","13","4"
"The Great Khali","16","115","39","69","7"
"Brian Kendrick","17","110","44","65","1"
"Elijah Burke","18","110","36","74","0"
"Mickie James","19","105","54","50","1"
"Paul London","20","104","43","60","1"
"Melina","21","102","47","55","0"
"Super Crazy","22","99","45","53","1"
"Deuce","23","98","43","54","1"
"Kenny Dykstra","24","96","15","81","0"
"Domino","25","94","41","53","0"
"Jimmy Wang Yang","26","93","42","50","1"
"Shelton Benjamin","27","93","23","69","1"
"Chavo Guerrero","28","86","34","52","0"
"Kevin Thorn","29","84","26","58","0"
"Charlie Haas","30","82","18","63","1"
"Chuck Palumbo","31","82","65","17","0"
"Val Venis","32","81","35","46","0"
"Chris Masters","33","80","22","58","0"
"Victoria","34","80","14","65","1"
"William Regal","35","80","29","50","1"
"Edge","36","79","21","56","2"
"The Undertaker","37","79","68","7","4"
"Cody Rhodes","38","77","51","26","0"
"Bobby Lashley","39","76","64","9","3"
"Snitsky","40","76","52","24","0"
"Mark Henry","41","75","41","33","1"
"Johnny Nitro","42","73","22","50","1"
"Santino Marella","43","73","37","35","1"
"Chris Benoit","44","72","55","16","1"
"The Miz","45","71","30","38","3"
"Dave Taylor","46","69","8","60","1"
"Rob Van Dam","47","66","39","25","2"
"Jim Duggan","48","65","32","33","0"
"Michelle McCool","49","65","52","11","2"
"JTG","50","60","44","16","0"
"John Morrison","51","60","29","30","1"
"Matt Striker","52","60","19","41","0"
"Hardcore Holly","53","59","32","27","0"
"Ric Flair","54","59","38","18","3"
"Candice Michelle","55","58","44","14","0"
"Marcus Cor Von","56","58","22","36","0"
"Eugene","57","57","17","39","1"
"Big Daddy V","58","54","31","22","1"
"Shad","59","54","39","15","0"
"Rey Mysterio","60","53","44","7","2"
"Triple H","61","51","43","7","1"
"King Booker","62","50","19","29","2"
"Shawn Michaels","63","50","34","13","3"
"Funaki","64","49","9","40","0"
"Jamie Noble","65","49","16","33","0"
"Daivari","66","47","9","37","1"
"Beth Phoenix","67","44","24","19","1"
"Festus","68","43","34","9","0"
"The Sandman","69","42","21","21","0"
"Balls Mahoney","70","39","15","24","0"
"Jesse","71","39","30","9","0"
"Gregory Helms","72","36","3","32","1"
"Stevie Richards","73","35","14","21","0"
"Rory","74","33","13","20","0"
"Robbie","75","32","12","20","0"
"Robbie McAllister","76","32","14","18","0"
"Brian Major","77","31","15","16","0"
"Rory McAllister","78","31","14","17","0"
"Brett Major","79","30","15","15","0"
"Sabu","80","30","14","16","0"
"Jillian","81","29","4","25","0"
"Maria","82","28","12","14","2"
"The Boogeyman","83","28","11","17","0"
"Nunzio","84","27","8","19","0"
"Shannon Moore","85","26","7","19","0"
"Jillian Hall","86","23","4","19","0"
"Joey Mercury","87","23","5","18","0"
"Viscera","88","23","9","14","0"
"Vladimir Kozlov","89","22","21","1","0"
"Johnny Jeter","90","21","5","16","0"
"Torrie Wilson","91","21","12","9","0"
"Kelly Kelly","92","20","9","10","1"
"Paul Burchill","93","20","4","16","0"
"Hornswoggle","94","18","12","1","5"
"Dan Rodman","95","17","4","13","0"
"Drew McIntyre","96","17","8","9","0"
"Layla","97","15","3","11","1"
"Sylvan","98","15","6","9","0"
"Daniel Rodimer","99","14","6","8","0"
"Kofi Kingston","100","14","12","2","0"
"CM Punk","1","173","115","55","3"
"Kane","2","161","88","71","2"
"John Morrison","3","152","89","59","4"
"Shelton Benjamin","4","150","65","84","1"
"The Miz","5","144","84","56","4"
"Cody Rhodes","6","142","94","47","1"
"Finlay","7","141","99","38","4"
"Kofi Kingston","8","141","99","42","0"
"Matt Hardy","9","141","106","32","3"
"Batista","10","140","85","46","9"
"Mark Henry","11","140","52","86","2"
"Montel Vontavious Porter","12","140","21","116","3"
"Triple H","13","139","118","17","4"
"Chris Jericho","14","135","65","67","3"
"Jeff Hardy","15","134","87","43","4"
"Chavo Guerrero","16","128","32","96","0"
"Beth Phoenix","17","126","70","56","0"
"The Brian Kendrick","18","116","55","61","0"
"Carlito","19","114","57","57","0"
"Mickie James","20","114","71","42","1"
"Santino Marella","21","113","42","70","1"
"Edge","22","111","36","71","4"
"The Big Show","23","107","58","45","4"
"Jamie Noble","24","104","48","55","1"
"John Bradshaw Layfield","25","104","28","75","1"
"Snitsky","26","103","41","62","0"
"The Undertaker","27","102","88","8","6"
"The Great Khali","28","97","50","43","4"
"Michelle McCool","29","95","70","24","1"
"Charlie Haas","30","92","22","69","1"
"John Cena","31","84","65","17","2"
"Randy Orton","32","84","32","49","3"
"Tommy Dreamer","33","84","29","54","1"
"Vladimir Kozlov","34","84","46","35","3"
"Lance Cade","35","80","27","53","0"
"Shawn Michaels","36","79","63","14","2"
"William Regal","37","79","32","46","1"
"Zack Ryder","38","74","19","53","2"
"Umaga","39","72","16","55","1"
"Curt Hawkins","40","71","18","51","2"
"Jimmy Wang Yang","41","71","15","55","1"
"Hardcore Holly","42","70","52","18","0"
"Rey Mysterio","43","69","53","16","0"
"Trevor Murdoch","44","67","7","60","0"
"Festus","45","66","27","37","2"
"JTG","46","66","27","38","1"
"Kelly Kelly","47","66","49","17","0"
"Shad","48","66","28","37","1"
"Maria","49","65","43","21","1"
"Victoria","50","65","15","49","1"
"Maryse","51","64","16","48","0"
"Natalya","52","64","21","42","1"
"Super Crazy","53","64","27","37","0"
"Ted DiBiase","54","60","41","19","0"
"Jesse","55","59","25","33","1"
"Mike Knox","56","57","21","36","0"
"R-Truth","57","56","25","31","0"
"Mr. Kennedy","58","55","26","29","0"
"Shannon Moore","59","55","10","44","1"
"Paul Burchill","60","54","26","28","0"
"D-Lo Brown","61","50","18","32","0"
"DH Smith","62","45","14","31","0"
"Jim Duggan","63","45","25","20","0"
"Katie Lea","64","45","10","35","0"
"Evan Bourne","65","39","25","14","0"
"Primo","66","39","34","5","0"
"Chuck Palumbo","67","36","8","26","2"
"Layla","68","36","4","31","1"
"Manu","69","36","19","16","1"
"Paul London","70","36","14","22","0"
"Jack Swagger","71","35","12","23","0"
"Melina","72","32","17","13","2"
"Candice Michelle","73","31","13","18","0"
"Jillian Hall","74","31","6","25","0"
"Deuce","75","29","2","27","0"
"Kenny Dykstra","76","27","6","20","1"
"Ryan Braddock","77","27","3","24","0"
"Cherry","78","26","12","14","0"
"Colin Delaney","79","26","6","20","0"
"Funaki","80","26","6","20","0"
"Hornswoggle","81","26","13","13","0"
"Val Venis","82","26","8","18","0"
"Domino","83","25","2","23","0"
"Big Daddy V","84","22","5","15","2"
"Elijah Burke","85","22","9","13","0"
"Ric Flair","86","22","19","3","0"
"Kung Fu Naki","87","21","4","17","0"
"Matt Striker","88","21","2","19","0"
"Robbie","89","21","0","21","0"
"Ezekiel Jackson","90","20","11","9","0"
"Brie Bella","91","19","12","7","0"
"Ricky Ortiz","92","18","7","11","0"
"Bam Neely","93","17","3","14","0"
"Nic Nemeth","94","17","1","16","0"
"Armando Estrada","95","16","3","13","0"
"Stevie Richards","96","16","5","11","0"
"Nunzio","97","15","2","13","0"
"Ron Killings","98","12","8","4","0"
"Hurricane Helms","99","10","3","7","0"
"Nikki Bella","100","10","5","5","0"
"CM Punk","1","191","99","91","1"
"Kofi Kingston","2","183","111","70","2"
"Randy Orton","3","179","40","128","11"
"John Cena","4","173","150","18","5"
"Montel Vontavious Porter","5","170","68","100","2"
"The Big Show","6","170","68","97","5"
"Chris Jericho","7","167","52","110","5"
"Jack Swagger","8","163","85","75","3"
"The Miz","9","163","94","69","0"
"John Morrison","10","159","108","50","1"
"Christian","11","156","97","57","2"
"Cody Rhodes","12","155","39","112","4"
"Primo","13","152","95","57","0"
"Mark Henry","14","150","73","76","1"
"Ted DiBiase","15","147","33","111","3"
"William Regal","16","141","31","109","1"
"Beth Phoenix","17","140","39","100","1"
"Melina","18","140","108","31","1"
"Dolph Ziggler","19","139","38","99","2"
"Rey Mysterio","20","138","98","39","1"
"Triple H","21","136","110","19","7"
"Carlito","22","131","77","54","0"
"Shelton Benjamin","23","126","47","79","0"
"Evan Bourne","24","124","83","41","0"
"Chavo Guerrero","25","123","9","114","0"
"Kane","26","120","54","64","2"
"Finlay","27","119","66","49","4"
"Mickie James","28","117","85","32","0"
"Matt Hardy","29","114","52","62","0"
"Tyson Kidd","30","108","33","75","0"
"Jeff Hardy","31","106","51","54","1"
"R-Truth","32","106","56","48","2"
"JTG","33","104","54","50","0"
"Tommy Dreamer","34","103","41","61","1"
"Edge","35","99","45","51","3"
"Goldust","36","99","43","55","1"
"Vladimir Kozlov","37","97","59","36","2"
"Santino Marella","38","95","36","58","1"
"Gail Kim","39","91","66","25","0"
"The Undertaker","40","91","81","8","2"
"Mike Knox","41","89","16","73","0"
"Michelle McCool","42","85","33","51","1"
"Ezekiel Jackson","43","83","25","57","1"
"The Great Khali","44","83","56","25","2"
"Sheamus","45","79","59","18","2"
"Maryse","46","78","36","42","0"
"Drew McIntyre","47","76","51","22","3"
"Kelly Kelly","48","76","40","35","1"
"Alicia Fox","49","75","17","58","0"
"David Hart Smith","50","75","29","46","0"
"Natalya","51","74","9","65","0"
"Jimmy Wang Yang","52","71","12","59","0"
"The Brian Kendrick","53","68","4","64","0"
"Batista","54","67","42","24","1"
"Eve Torres","55","62","45","16","1"
"Shawn Michaels","56","62","53","9","0"
"Layla","57","60","6","54","0"
"Chris Masters","58","59","24","34","1"
"Paul Burchill","59","56","12","44","0"
"Zack Ryder","60","56","15","41","0"
"Shad","61","55","23","32","0"
"Brie Bella","62","54","35","19","0"
"Nikki Bella","63","53","28","25","0"
"Rosa Mendes","64","53","7","46","0"
"Jamie Noble","65","50","10","40","0"
"Eric Escobar","66","47","6","41","0"
"Shad Gaspard","67","47","32","14","1"
"Maria","68","41","29","12","0"
"Yoshi Tatsu","69","40","26","14","0"
"Katie Lea","70","39","7","32","0"
"Umaga","71","39","24","14","1"
"Charlie Haas","72","35","5","29","1"
"Alex Riley","73","33","3","30","0"
"The Hurricane","74","32","15","17","0"
"Tyler Reks","75","23","8","15","0"
"Hornswoggle","76","20","17","3","0"
"Jillian Hall","77","20","4","15","1"
"Jillian","78","19","2","17","0"
"Kizarny","79","18","16","2","0"
"Hurricane Helms","80","17","2","15","0"
"Kung Fu Naki","81","15","5","10","0"
"Ricky Ortiz","82","15","1","13","1"
"Festus","83","13","3","10","0"
"Santina Marella","84","13","11","2","0"
"Slam Master J","85","13","2","11","0"
"Vance Archer","86","13","10","3","0"
"Ricky Steamboat","87","12","9","3","0"
"Shane McMahon","88","9","3","3","3"
"John Bradshaw Layfield","89","8","1","7","0"
"The Boogeyman","90","8","4","2","2"
"DJ Gabriel","91","7","2","5","0"
"Savannah","92","6","6","0","0"
"Caylen Croft","93","5","3","2","0"
"Heath Slater","94","5","0","5","0"
"Jesse","95","5","0","5","0"
"Trent Barreta","96","5","3","2","0"
"Candice Michelle","97","4","1","3","0"
"Luke Gallows","98","4","2","2","0"
"Eugene","99","3","2","1","0"
"Jerry Lawler","100","3","2","1","0"
"Kofi Kingston","1","190","103","85","2"
"Jack Swagger","2","187","49","135","3"
"Sheamus","3","184","52","117","15"
"The Miz","4","182","105","72","5"
"The Big Show","5","176","104","59","13"
"John Cena","6","174","129","27","18"
"Randy Orton","7","174","126","39","9"
"Drew McIntyre","8","172","79","79","14"
"Cody Rhodes","9","163","67","94","2"
"John Morrison","10","161","80","78","3"
"Kane","11","160","88","45","27"
"Montel Vontavious Porter","12","156","73","81","2"
"Ted DiBiase","13","155","33","121","1"
"Dolph Ziggler","14","154","68","84","2"
"Tyson Kidd","15","148","94","53","1"
"David Hart Smith","16","146","91","54","1"
"Rey Mysterio","17","142","107","29","6"
"Edge","18","136","81","41","14"
"Mark Henry","19","135","62","70","3"
"Alicia Fox","20","129","26","103","0"
"Layla","21","128","47","81","0"
"Chavo Guerrero","22","127","21","105","1"
"Evan Bourne","23","127","81","46","0"
"Maryse","24","127","21","106","0"
"Chris Masters","25","126","54","72","0"
"R-Truth","26","125","80","42","3"
"Christian","27","119","82","36","1"
"Zack Ryder","28","119","14","105","0"
"CM Punk","29","114","29","82","3"
"William Regal","30","113","17","96","0"
"Chris Jericho","31","111","33","74","4"
"Goldust","32","109","69","40","0"
"Wade Barrett","33","106","31","73","2"
"Eve Torres","34","100","66","34","0"
"Santino Marella","35","97","68","29","0"
"Kelly Kelly","36","92","47","45","0"
"Alberto Del Rio","37","91","50","38","3"
"Vladimir Kozlov","38","89","52","37","0"
"Matt Hardy","39","86","30","56","0"
"Primo","40","85","24","60","1"
"Luke Gallows","41","83","14","69","0"
"Yoshi Tatsu","42","82","52","30","0"
"Daniel Bryan","43","76","51","24","1"
"Gail Kim","44","76","54","22","0"
